folder,filename,folder_cn,category
a_flower,a_flower01.jpg,一朵花,花卉植物
a_flower,a_flower02.jpg,一朵花,花卉植物
a_flower,a_flower03.jpg,一朵花,花卉植物
a_flower,a_flower04.jpg,一朵花,花卉植物
a_flower,a_flower05.jpg,一朵花,花卉植物
a_flower,a_flower06.jpg,一朵花,花卉植物
a_flower,a_flower07.jpg,一朵花,花卉植物
a_flower,a_flower08.jpg,一朵花,花卉植物
abstract_painting,abstract_painting01.jpg,抽象画,艺术
abstract_painting,abstract_painting02.jpg,抽象画,艺术
abstract_painting,abstract_painting03.jpg,抽象画,艺术
abstract_painting,abstract_painting04.jpg,抽象画,艺术
abstract_painting,abstract_painting05.jpg,抽象画,艺术
abstract_painting,abstract_painting06.jpg,抽象画,艺术
abstract_painting,abstract_painting07.jpg,抽象画,艺术
abstract_painting,abstract_painting08.jpg,抽象画,艺术
abstract_painting,abstract_painting09.jpg,抽象画,艺术
abstract_painting,abstract_painting10.jpg,抽象画,艺术
abundant_food,abundant_food01.jpg,丰盛的食物,日常美食
abundant_food,abundant_food02.jpg,丰盛的食物,日常美食
abundant_food,abundant_food03.jpg,丰盛的食物,日常美食
abundant_food,abundant_food04.jpg,丰盛的食物,日常美食
abundant_food,abundant_food05.jpg,丰盛的食物,日常美食
abundant_food,abundant_food06.jpg,丰盛的食物,日常美食
abundant_food,abundant_food07.jpg,丰盛的食物,日常美食
abundant_food,abundant_food08.jpg,丰盛的食物,日常美食
accessories,accessories01.jpg,配饰,生活物品
accessories,accessories02.jpg,配饰,生活物品
accessories,accessories03.jpg,配饰,生活物品
accessories,accessories04.jpg,配饰,生活物品
accessories,accessories05.jpg,配饰,生活物品
accessories,accessories06.jpg,配饰,生活物品
accessories,accessories07.jpg,配饰,生活物品
accessories,accessories08.jpg,配饰,生活物品
afternoon_tea_ii,afternoon_tea_ii01.jpg,下午茶二,日常美食
afternoon_tea_ii,afternoon_tea_ii02.jpg,下午茶二,日常美食
afternoon_tea_ii,afternoon_tea_ii03.jpg,下午茶二,日常美食
afternoon_tea_ii,afternoon_tea_ii04.jpg,下午茶二,日常美食
afternoon_tea_ii,afternoon_tea_ii05.jpg,下午茶二,日常美食
afternoon_tea_ii,afternoon_tea_ii06.jpg,下午茶二,日常美食
afternoon_tea_ii,afternoon_tea_ii07.jpg,下午茶二,日常美食
afternoon_tea_ii,afternoon_tea_ii08.jpg,下午茶二,日常美食
afternoon_tea,afternoon_tea01.jpg,下午茶,日常美食
afternoon_tea,afternoon_tea02.jpg,下午茶,日常美食
afternoon_tea,afternoon_tea03.jpg,下午茶,日常美食
afternoon_tea,afternoon_tea04.jpg,下午茶,日常美食
afternoon_tea,afternoon_tea05.jpg,下午茶,日常美食
afternoon_tea,afternoon_tea06.jpg,下午茶,日常美食
afternoon_tea,afternoon_tea07.jpg,下午茶,日常美食
afternoon_tea,afternoon_tea08.jpg,下午茶,日常美食
airplane,airplane01.jpg,飞机,交通
airplane,airplane02.jpg,飞机,交通
airplane,airplane03.jpg,飞机,交通
airplane,airplane04.jpg,飞机,交通
airplane,airplane05.jpg,飞机,交通
airplane,airplane06.jpg,飞机,交通
airplane,airplane07.jpg,飞机,交通
airplane,airplane08.jpg,飞机,交通
alcoholic_drink,alcoholic_drink01.jpg,酒精饮料,日常美食
alcoholic_drink,alcoholic_drink02.jpg,酒精饮料,日常美食
alcoholic_drink,alcoholic_drink03.jpg,酒精饮料,日常美食
alcoholic_drink,alcoholic_drink04.jpg,酒精饮料,日常美食
alcoholic_drink,alcoholic_drink05.jpg,酒精饮料,日常美食
alcoholic_drink,alcoholic_drink06.jpg,酒精饮料,日常美食
alcoholic_drink,alcoholic_drink07.jpg,酒精饮料,日常美食
alcoholic_drink,alcoholic_drink08.jpg,酒精饮料,日常美食
alpaca,alpaca01.jpg,羊驼,野生动物
alpaca,alpaca02.jpg,羊驼,野生动物
alpaca,alpaca03.jpg,羊驼,野生动物
alpaca,alpaca04.jpg,羊驼,野生动物
alpaca,alpaca05.jpg,羊驼,野生动物
alpaca,alpaca06.jpg,羊驼,野生动物
alpaca,alpaca07.jpg,羊驼,野生动物
alpaca,alpaca08.jpg,羊驼,野生动物
amusement_park,amusement_park01.jpg,游乐园,活动
amusement_park,amusement_park02.jpg,游乐园,活动
amusement_park,amusement_park03.jpg,游乐园,活动
amusement_park,amusement_park04.jpg,游乐园,活动
amusement_park,amusement_park05.jpg,游乐园,活动
amusement_park,amusement_park06.jpg,游乐园,活动
amusement_park,amusement_park07.jpg,游乐园,活动
amusement_park,amusement_park08.jpg,游乐园,活动
ancient_building,ancient_building01.jpg,古建筑,建筑
ancient_building,ancient_building02.jpg,古建筑,建筑
ancient_building,ancient_building03.jpg,古建筑,建筑
ancient_building,ancient_building04.jpg,古建筑,建筑
ancient_building,ancient_building05.jpg,古建筑,建筑
ancient_building,ancient_building06.jpg,古建筑,建筑
ancient_building,ancient_building07.jpg,古建筑,建筑
ancient_building,ancient_building08.jpg,古建筑,建筑
animal_decoration_painting,animal_decoration_painting01.jpg,动物装饰画,艺术
animal_decoration_painting,animal_decoration_painting02.jpg,动物装饰画,艺术
animal_decoration_painting,animal_decoration_painting03.jpg,动物装饰画,艺术
animal_decoration_painting,animal_decoration_painting04.jpg,动物装饰画,艺术
animal_decoration_painting,animal_decoration_painting05.jpg,动物装饰画,艺术
animal_decoration_painting,animal_decoration_painting06.jpg,动物装饰画,艺术
animal_decoration_painting,animal_decoration_painting07.jpg,动物装饰画,艺术
animal_decoration_painting,animal_decoration_painting08.jpg,动物装饰画,艺术
animal_decoration_painting,animal_decoration_painting09.jpg,动物装饰画,艺术
